Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
Anthony Stolarz,20242025,TOR,L,34,33,21,8,--,3,955,884,71,0.926,2.14,1986:54,4,0,1,1,0
Connor Hellebuyck,20242025,WPG,L,63,62,47,12,--,3,"1,664","1,539",125,0.925,2,3741:22,8,0,1,1,2
Darcy Kuemper,20242025,LAK,L,50,50,31,11,--,7,"1,267","1,168",100,0.922,2.02,2973:39,5,0,1,1,12
Andrei Vasilevskiy,20242025,TBL,L,63,63,38,20,--,5,"1,716","1,581",136,0.921,2.18,3743:05,6,0,2,2,8
Filip Gustavsson,20242025,MIN,L,58,58,31,19,--,6,"1,693","1,547",146,0.914,2.56,3423:35,5,1,1,2,0
Mackenzie Blackwood,20242025,"SJS,COL",L,56,53,28,21,--,6,"1,549","1,413",137,0.912,2.55,3223:38,4,0,1,1,2
Logan Thompson,20242025,WSH,R,43,42,31,6,--,6,"1,172","1,067",105,0.91,2.49,2535:09,2,0,1,1,0
Linus Ullmark,20242025,OTT,L,44,43,25,14,--,3,"1,229","1,118",112,0.91,2.72,2467:17,4,0,2,2,0
Dustin Wolf,20242025,CGY,L,53,53,29,16,--,8,"1,549","1,409",140,0.91,2.64,3182:22,3,0,3,3,2
Jake Oettinger,20242025,DAL,L,58,58,36,18,--,4,"1,611","1,464",147,0.909,2.59,3410:04,2,0,1,1,0
Joseph Woll,20242025,TOR,L,42,41,27,14,--,1,"1,216","1,105",111,0.909,2.73,2442:20,1,0,0,0,0
Jake Allen,20242025,NJD,L,31,29,13,16,--,1,819,744,77,0.908,2.66,1738:10,4,0,0,0,0
Ilya Sorokin,20242025,NYI,L,61,60,30,24,--,6,"1,695","1,538",158,0.907,2.71,3498:51,4,1,2,3,2
Adin Hill,20242025,VGK,L,50,50,32,13,--,5,"1,293","1,172",121,0.906,2.47,2940:13,4,0,0,0,4
Joey Daccord,20242025,SEA,L,57,55,27,23,--,5,"1,599","1,449",151,0.906,2.75,3295:15,2,0,2,2,0
Sergei Bobrovsky,20242025,FLA,L,54,54,33,19,--,2,"1,377","1,247",130,0.906,2.44,3199:59,5,0,1,1,4
Igor Shesterkin,20242025,NYR,L,61,61,27,29,--,5,"1,751","1,584",167,0.905,2.86,3505:08,6,0,0,0,6
Karel Vejmelka,20242025,UTA,R,58,55,26,22,--,8,"1,509","1,364",145,0.904,2.58,3368:20,1,0,1,1,0
Joel Hofer,20242025,STL,L,31,28,16,8,--,3,767,693,74,0.904,2.64,1678:49,1,0,1,1,2
Lukas Dostal,20242025,ANA,L,54,49,23,23,--,7,"1,625","1,467",158,0.903,3.1,3057:39,1,0,0,0,0
Spencer Knight,20242025,"FLA,CHI",L,38,36,17,16,--,3,"1,011",912,100,0.902,2.72,2202:51,2,0,2,2,0
Kevin Lankinen,20242025,VAN,L,51,49,25,15,--,10,"1,345","1,213",132,0.902,2.62,3019:47,4,0,1,1,0
Sam Montembeault,20242025,MTL,L,62,60,31,24,--,7,"1,678","1,513",166,0.902,2.82,3533:59,4,0,1,1,0
Cam Talbot,20242025,DET,L,47,43,21,19,--,5,"1,295","1,167",129,0.901,2.93,2642:10,2,0,0,0,0
Anton Forsberg,20242025,OTT,L,30,27,11,12,--,3,768,692,76,0.901,2.72,1676:32,3,0,0,0,0
Jordan Binnington,20242025,STL,L,56,54,28,22,--,5,"1,457","1,312",145,0.9,2.69,3238:59,3,0,0,0,6
Jacob Markstrom,20242025,NJD,L,49,49,26,16,--,6,"1,214","1,093",121,0.9,2.5,2903:01,4,0,0,0,0
Calvin Pickard,20242025,EDM,L,36,31,22,10,--,1,849,764,85,0.9,2.71,1881:43,0,0,1,1,0
Arvid Soderblom,20242025,CHI,L,36,33,10,18,--,7,"1,087",976,111,0.898,3.18,2096:30,0,0,0,0,0
Pyotr Kochetkov,20242025,CAR,L,47,47,27,16,--,3,"1,172","1,052",121,0.898,2.6,2790:42,2,0,3,3,8
Dan Vladar,20242025,CGY,L,30,29,12,11,--,6,810,727,83,0.898,2.8,1781:02,2,0,1,1,2
Alex Lyon,20242025,DET,L,30,26,14,9,--,1,705,632,73,0.896,2.81,1559:38,1,0,0,0,2
Charlie Lindgren,20242025,WSH,R,39,38,20,14,--,3,985,883,104,0.896,2.73,2287:00,1,0,0,0,0
Stuart Skinner,20242025,EDM,L,51,50,26,18,--,4,"1,325","1,187",138,0.896,2.81,2942:27,3,0,0,0,0
Juuse Saros,20242025,NSH,L,58,58,20,31,--,6,"1,592","1,426",167,0.896,2.98,3357:49,4,0,1,1,4
Alex Nedeljkovic,20242025,PIT,L,38,35,14,15,--,5,"1,054",942,112,0.894,3.12,2150:51,1,1,2,3,2
Tristan Jarry,20242025,PIT,L,36,35,16,12,--,6,971,867,105,0.893,3.12,2019:54,2,0,1,1,2
Jeremy Swayman,20242025,BOS,L,58,58,22,29,--,7,"1,632","1,456",176,0.892,3.11,3390:35,4,0,0,0,2
Elvis Merzlikins,20242025,CBJ,L,53,52,26,21,--,5,"1,557","1,389",168,0.892,3.18,3170:55,1,0,1,1,8
Petr Mrazek,20242025,"CHI,DET",L,38,38,12,21,--,2,"1,066",950,116,0.891,3.35,2080:07,1,0,0,0,0
David Rittich,20242025,LAK,L,34,31,16,14,--,2,771,684,88,0.887,2.84,1860:28,0,0,0,0,2
Ukko-Pekka Luukkonen,20242025,BUF,L,55,55,24,24,--,5,"1,490","1,321",169,0.887,3.2,3172:13,2,0,1,1,2
Justus Annunen,20242025,"COL,NSH",L,34,29,15,15,--,1,814,719,95,0.883,3.18,1789:49,0,0,0,0,0
Samuel Ersson,20242025,PHI,L,47,45,22,17,--,5,"1,162","1,026",136,0.883,3.14,2601:47,2,0,0,0,2
Alexandar Georgiev,20242025,"COL,SJS",L,49,47,15,26,--,4,"1,317","1,152",165,0.875,3.71,2671:48,0,0,1,1,0