Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Leon Draisaitl,20242025,EDM,L,C,71,52,54,106,32,34,1.49,36,73,16,33,0,0,6,11,240,21.7,21:31,54.4
William Nylander,20242025,TOR,R,R,82,45,39,84,10,26,1.02,33,54,12,30,0,0,2,8,253,17.8,19:31,49.7
Alex Ovechkin,20242025,WSH,R,L,65,44,29,73,15,14,1.12,30,51,14,22,0,0,1,7,237,18.6,17:43,0
Tage Thompson,20242025,BUF,R,C,76,44,28,72,-2,35,0.95,37,56,7,16,0,0,0,6,242,18.2,18:45,42.8
David Pastrnak,20242025,BOS,R,R,82,43,63,106,0,42,1.29,34,83,9,23,0,0,3,4,319,13.5,20:11,37.5
Brayden Point,20242025,TBL,R,C,77,42,40,82,17,7,1.06,26,51,16,31,0,0,2,7,189,22.2,19:29,48.5
Jake Guentzel,20242025,TBL,L,C,80,41,39,80,18,24,1,23,51,17,28,1,1,0,5,217,18.9,20:00,46.1
Kyle Connor,20242025,WPG,L,L,82,41,56,97,17,25,1.18,30,67,9,28,2,2,2,8,267,15.4,20:24,12.5
Mark Scheifele,20242025,WPG,R,C,82,39,48,87,12,61,1.06,28,62,11,25,0,0,3,11,181,21.6,20:26,49.5
Sam Reinhart,20242025,FLA,R,C,79,39,42,81,6,27,1.03,21,45,13,30,5,6,0,4,213,18.3,20:30,41.3
Alex DeBrincat,20242025,DET,R,R,82,39,31,70,-13,29,0.85,26,41,13,29,0,0,1,4,244,16,17:52,44.8
John Tavares,20242025,TOR,L,C,75,38,36,74,10,46,0.99,26,54,12,20,0,0,1,8,200,19,18:14,58.3
Nikita Kucherov,20242025,TBL,L,R,78,37,84,121,22,45,1.55,29,75,8,46,0,0,1,9,265,14,21:11,50
Artemi Panarin,20242025,NYR,R,L,80,37,52,89,-9,16,1.11,29,63,8,26,0,0,0,3,237,15.6,19:41,0
Cole Caufield,20242025,MTL,R,R,82,37,33,70,9,14,0.85,27,53,10,17,0,0,1,8,240,15.4,18:05,40
Alex Tuch,20242025,BUF,R,R,82,36,31,67,16,47,0.82,27,47,3,11,6,9,1,4,196,18.4,19:15,41
Jordan Kyrou,20242025,STL,R,R,82,36,34,70,23,20,0.85,29,53,7,17,0,0,0,4,239,15.1,17:29,33.3
Nazem Kadri,20242025,CGY,L,C,82,35,32,67,-17,72,0.82,26,45,9,22,0,0,2,5,279,12.5,19:21,46.2
Rickard Rakell,20242025,PIT,R,R,81,35,35,70,-22,14,0.86,26,51,9,19,0,0,1,1,203,17.2,19:18,42.2
Kevin Fiala,20242025,LAK,L,L,81,35,25,60,-7,38,0.74,21,35,14,25,0,0,0,6,244,14.3,18:31,40.5
Adrian Kempe,20242025,LAK,L,R,81,35,38,73,22,36,0.9,27,54,7,18,1,1,1,5,237,14.8,19:09,45.8
Brandon Hagel,20242025,TBL,L,L,82,35,55,90,33,58,1.1,32,72,0,11,3,7,0,4,228,15.4,20:45,34.8
Nico Hischier,20242025,NJD,L,C,75,35,34,69,9,20,0.92,21,38,14,29,0,2,0,3,187,18.7,20:23,55.5
Jason Robertson,20242025,DAL,L,L,82,35,45,80,10,18,0.98,26,61,9,19,0,0,1,6,211,16.6,17:48,36.8
Pavel Dorofeyev,20242025,VGK,L,L,82,35,17,52,2,30,0.63,22,35,13,17,0,0,0,7,254,13.8,16:32,18.8
Sidney Crosby,20242025,PIT,L,C,80,33,58,91,-20,31,1.14,21,64,12,27,0,0,4,10,227,14.5,20:22,57
Tom Wilson,20242025,WSH,R,R,81,33,32,65,20,100,0.8,20,43,11,17,2,5,2,6,169,19.5,18:44,26.3
Auston Matthews,20242025,TOR,L,C,67,33,45,78,11,20,1.16,21,51,10,25,2,2,1,2,261,12.6,20:28,56.8
Morgan Geekie,20242025,BOS,R,C,77,33,24,57,3,22,0.74,29,48,4,9,0,0,0,4,150,22,16:55,46.5
Wyatt Johnston,20242025,DAL,R,C,82,33,38,71,2,14,0.87,19,43,11,25,3,3,1,4,202,16.3,18:56,51.2
Tomas Hertl,20242025,VGK,L,C,73,32,29,61,-3,20,0.84,18,38,14,23,0,0,0,3,177,18.1,17:07,56
Nathan MacKinnon,20242025,COL,R,C,79,32,84,116,25,41,1.47,23,78,9,38,0,0,1,5,320,10,22:47,49.9
Mikko Rantanen,20242025,"COL,CAR,DAL",L,R,82,32,56,88,13,60,1.07,21,62,11,26,0,0,0,6,212,15.1,21:15,52.9
Seth Jarvis,20242025,CAR,R,C,73,32,35,67,12,16,0.92,20,41,7,19,5,7,0,2,204,15.7,19:21,34.2
Bryan Rust,20242025,PIT,R,R,71,31,34,65,-21,18,0.92,26,47,5,18,0,0,2,5,191,16.2,19:45,52.9
Filip Forsberg,20242025,NSH,R,L,82,31,45,76,-27,44,0.93,21,50,10,26,0,0,0,3,281,11,18:38,23.5
Ryan Donato,20242025,CHI,L,C,80,31,31,62,-15,41,0.78,26,48,5,14,0,0,0,3,182,17,16:19,44.6
Kirill Marchenko,20242025,CBJ,R,R,79,31,43,74,29,20,0.94,29,55,2,19,0,0,1,2,207,15,18:35,31.7
Adam Fantilli,20242025,CBJ,L,C,82,31,23,54,4,18,0.66,28,48,2,4,1,2,0,3,191,16.2,17:29,41.2
Matt Duchene,20242025,DAL,L,C,82,30,52,82,13,12,1,22,55,8,27,0,0,1,6,152,19.7,17:09,52.4
Tyler Toffoli,20242025,SJS,R,C,78,30,24,54,-21,14,0.69,24,39,6,15,0,0,0,1,233,12.9,16:56,54.2
Dylan Larkin,20242025,DET,L,C,82,30,40,70,-16,40,0.85,17,43,13,27,0,0,0,3,234,12.8,20:04,54.5
Clayton Keller,20242025,UTA,L,R,81,30,60,90,-12,28,1.11,20,53,10,37,0,0,1,5,218,13.8,19:07,33.3
Nick Suzuki,20242025,MTL,R,C,82,30,59,89,19,8,1.09,24,60,4,27,2,2,5,9,172,17.4,20:04,51.6
Cale Makar,20242025,COL,R,D,80,30,62,92,28,14,1.15,16,54,12,35,2,3,1,4,246,12.2,25:43,--
Aliaksei Protas,20242025,WSH,L,C,76,30,36,66,40,18,0.87,27,60,0,1,3,5,1,6,142,21.1,16:27,24
Anders Lee,20242025,NYI,L,L,82,29,25,54,3,35,0.66,24,45,5,9,0,0,0,3,233,12.5,17:04,44.4
Sebastian Aho,20242025,CAR,L,C,79,29,45,74,7,46,0.94,21,44,5,23,3,7,5,9,207,14,20:06,55.3
Dylan Strome,20242025,WSH,L,C,82,29,53,82,2,34,1,20,48,9,34,0,0,0,3,149,19.5,17:23,53.7
Brady Tkachuk,20242025,OTT,L,L,72,29,26,55,0,123,0.76,15,32,14,23,0,0,4,5,296,9.8,18:14,51.3